class,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker
1,... <    0 DM,6,critical account/  other credits existing (not at this bank),radio/television,1169,A65,.. >= 7 years,4,male   : single,none,4,real estate,67,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
2,0 <= ... <  200 DM,48,existing credits paid back duly till now,radio/television,5951,A61,1  <= ... < 4 years,2,female : divorced/separated/married,none,2,real estate,22,none,own,1,skilled employee / official,1,none,yes
1,no checking account,12,critical account/  other credits existing (not at this bank),education,2096,A61,4  <= ... < 7 years,2,male   : single,none,3,real estate,49,none,own,1,unskilled - resident,2,none,yes
1,... <    0 DM,42,existing credits paid back duly till now,furniture/equipment,7882,A61,4  <= ... < 7 years,2,male   : single,guarantor,4,if not A121 : building society savings agreement/ life insurance,45,none,for free,1,skilled employee / official,2,none,yes
2,... <    0 DM,24,delay in paying off in the past,car (new),4870,A61,1  <= ... < 4 years,3,male   : single,none,4,unknown / no property,53,none,for free,2,skilled employee / official,2,none,yes
1,no checking account,36,existing credits paid back duly till now,education,9055,A65,1  <= ... < 4 years,2,male   : single,none,4,unknown / no property,35,none,for free,1,unskilled - resident,2,"yes, registered under the customers name",yes
1,no checking account,24,existing credits paid back duly till now,furniture/equipment,2835,A63,.. >= 7 years,3,male   : single,none,4,if not A121 : building society savings agreement/ life insurance,53,none,own,1,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,36,existing credits paid back duly till now,car (used),6948,A61,1  <= ... < 4 years,2,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",35,none,rent,1,management/ self-employed/,1,"yes, registered under the customers name",yes
1,no checking account,12,existing credits paid back duly till now,radio/television,3059,A64,4  <= ... < 7 years,2,male   : divorced/separated,none,4,real estate,61,none,own,1,unskilled - resident,1,none,yes
2,0 <= ... <  200 DM,30,critical account/  other credits existing (not at this bank),car (new),5234,A61,unemployed,4,male   : married/widowed,none,2,"if not A121/A122 : car or other, not in attribute 6",28,none,own,2,management/ self-employed/,1,none,yes
2,0 <= ... <  200 DM,12,existing credits paid back duly till now,car (new),1295,A61,... < 1 year,3,female : divorced/separated/married,none,1,"if not A121/A122 : car or other, not in attribute 6",25,none,rent,1,skilled employee / official,1,none,yes
2,... <    0 DM,48,existing credits paid back duly till now,business,4308,A61,... < 1 year,3,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,24,none,rent,1,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,12,existing credits paid back duly till now,radio/television,1567,A61,1  <= ... < 4 years,1,female : divorced/separated/married,none,1,"if not A121/A122 : car or other, not in attribute 6",22,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
2,... <    0 DM,24,critical account/  other credits existing (not at this bank),car (new),1199,A61,.. >= 7 years,4,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",60,none,own,2,unskilled - resident,1,none,yes
1,... <    0 DM,15,existing credits paid back duly till now,car (new),1403,A61,1  <= ... < 4 years,2,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",28,none,rent,1,skilled employee / official,1,none,yes
2,... <    0 DM,24,existing credits paid back duly till now,radio/television,1282,A62,1  <= ... < 4 years,4,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",32,none,own,1,unskilled - resident,1,none,yes
1,no checking account,24,critical account/  other credits existing (not at this bank),radio/television,2424,A65,.. >= 7 years,4,male   : single,none,4,if not A121 : building society savings agreement/ life insurance,53,none,own,2,skilled employee / official,1,none,yes
1,... <    0 DM,30,no credits taken/ all credits paid back duly,business,8072,A65,... < 1 year,2,male   : single,none,3,"if not A121/A122 : car or other, not in attribute 6",25,bank,own,3,skilled employee / official,1,none,yes
2,0 <= ... <  200 DM,24,existing credits paid back duly till now,car (used),12579,A61,.. >= 7 years,4,female : divorced/separated/married,none,2,unknown / no property,44,none,for free,1,management/ self-employed/,1,"yes, registered under the customers name",yes
1,no checking account,24,existing credits paid back duly till now,radio/television,3430,A63,.. >= 7 years,3,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",31,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes
1,no checking account,9,critical account/  other credits existing (not at this bank),car (new),2134,A61,1  <= ... < 4 years,4,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",48,none,own,3,skilled employee / official,1,"yes, registered under the customers name",yes
1,... <    0 DM,6,existing credits paid back duly till now,radio/television,2647,A63,1  <= ... < 4 years,2,male   : single,none,3,real estate,44,none,rent,1,skilled employee / official,2,none,yes
1,... <    0 DM,10,critical account/  other credits existing (not at this bank),car (new),2241,A61,... < 1 year,1,male   : single,none,3,real estate,48,none,rent,2,unskilled - resident,2,none,no
1,0 <= ... <  200 DM,12,critical account/  other credits existing (not at this bank),car (used),1804,A62,... < 1 year,3,male   : single,none,4,if not A121 : building society savings agreement/ life insurance,44,none,own,1,skilled employee / official,1,none,yes
1,no checking account,10,critical account/  other credits existing (not at this bank),furniture/equipment,2069,A65,1  <= ... < 4 years,2,male   : married/widowed,none,1,"if not A121/A122 : car or other, not in attribute 6",26,none,own,2,skilled employee / official,1,none,no
1,... <    0 DM,6,existing credits paid back duly till now,furniture/equipment,1374,A61,1  <= ... < 4 years,1,male   : single,none,2,real estate,36,bank,own,1,unskilled - resident,1,"yes, registered under the customers name",yes
1,no checking account,6,no credits taken/ all credits paid back duly,radio/television,426,A61,.. >= 7 years,4,male   : married/widowed,none,4,"if not A121/A122 : car or other, not in attribute 6",39,none,own,1,unskilled - resident,1,none,yes
1,... >= 200 DM / salary assignments for at least 1 year,12,all credits at this bank paid back duly,radio/television,409,A64,1  <= ... < 4 years,3,female : divorced/separated/married,none,3,real estate,42,none,rent,2,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,7,existing credits paid back duly till now,radio/television,2415,A61,1  <= ... < 4 years,3,male   : single,guarantor,2,real estate,34,none,own,1,skilled employee / official,1,none,yes
2,... <    0 DM,60,delay in paying off in the past,business,6836,A61,.. >= 7 years,3,male   : single,none,4,unknown / no property,63,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,18,existing credits paid back duly till now,business,1913,A64,... < 1 year,3,male   : married/widowed,none,3,real estate,36,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,... <    0 DM,24,existing credits paid back duly till now,furniture/equipment,4020,A61,1  <= ... < 4 years,2,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",27,stores,own,1,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,18,existing credits paid back duly till now,car (new),5866,A62,1  <= ... < 4 years,2,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",30,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,12,critical account/  other credits existing (not at this bank),business,1264,A65,.. >= 7 years,4,male   : single,none,4,unknown / no property,57,none,rent,1,unskilled - resident,1,none,yes
1,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,furniture/equipment,1474,A61,... < 1 year,4,female : divorced/separated/married,none,1,if not A121 : building society savings agreement/ life insurance,33,bank,own,1,management/ self-employed/,1,"yes, registered under the customers name",yes
2,0 <= ... <  200 DM,45,critical account/  other credits existing (not at this bank),radio/television,4746,A61,... < 1 year,4,male   : single,none,2,if not A121 : building society savings agreement/ life insurance,25,none,own,2,unskilled - resident,1,none,yes
1,no checking account,48,critical account/  other credits existing (not at this bank),education,6110,A61,1  <= ... < 4 years,1,male   : single,none,3,unknown / no property,31,bank,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes
2,... >= 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,radio/television,2100,A61,1  <= ... < 4 years,4,male   : single,co-applicant,2,real estate,37,stores,own,1,skilled employee / official,1,none,yes
1,... >= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,domestic appliances,1225,A61,1  <= ... < 4 years,2,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,9,existing credits paid back duly till now,radio/television,458,A61,1  <= ... < 4 years,4,male   : single,none,3,real estate,24,none,own,1,skilled employee / official,1,none,yes
1,no checking account,30,existing credits paid back duly till now,radio/television,2333,A63,.. >= 7 years,4,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",30,bank,own,1,management/ self-employed/,1,none,yes
1,0 <= ... <  200 DM,12,existing credits paid back duly till now,radio/television,1158,A63,1  <= ... < 4 years,3,male   : divorced/separated,none,1,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,18,delay in paying off in the past,repairs,6204,A61,1  <= ... < 4 years,2,male   : single,none,4,real estate,44,none,own,1,unskilled - resident,2,"yes, registered under the customers name",yes
1,... <    0 DM,30,critical account/  other credits existing (not at this bank),car (used),6187,A62,4  <= ... < 7 years,1,male   : married/widowed,none,4,"if not A121/A122 : car or other, not in attribute 6",24,none,rent,2,skilled employee / official,1,none,yes
2,... <    0 DM,48,critical account/  other credits existing (not at this bank),car (used),6143,A61,.. >= 7 years,4,female : divorced/separated/married,none,4,unknown / no property,58,stores,for free,2,unskilled - resident,1,none,yes
1,no checking account,11,critical account/  other credits existing (not at this bank),car (new),1393,A61,... < 1 year,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",35,none,own,2,management/ self-employed/,1,none,yes
1,no checking account,36,existing credits paid back duly till now,radio/television,2299,A63,.. >= 7 years,4,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",39,none,own,1,skilled employee / official,1,none,yes
1,... <    0 DM,6,existing credits paid back duly till now,car (used),1352,A63,unemployed,1,female : divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,23,none,rent,1,unemployed/ unskilled  - non-resident,1,"yes, registered under the customers name",yes
1,no checking account,11,critical account/  other credits existing (not at this bank),car (new),7228,A61,1  <= ... < 4 years,1,male   : single,none,4,if not A121 : building society savings agreement/ life insurance,39,none,own,2,unskilled - resident,1,none,yes
1,no checking account,12,existing credits paid back duly till now,radio/television,2073,A62,1  <= ... < 4 years,4,female : divorced/separated/married,co-applicant,2,real estate,28,none,own,1,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,24,delay in paying off in the past,furniture/equipment,2333,A65,... < 1 year,4,male   : single,none,2,if not A121 : building society savings agreement/ life insurance,29,bank,own,1,unskilled - resident,1,none,yes
1,0 <= ... <  200 DM,27,delay in paying off in the past,car (used),5965,A61,.. >= 7 years,1,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",30,none,own,2,management/ self-employed/,1,"yes, registered under the customers name",yes
1,no checking account,12,existing credits paid back duly till now,radio/television,1262,A61,1  <= ... < 4 years,3,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,none,yes
1,no checking account,18,existing credits paid back duly till now,car (used),3378,A65,1  <= ... < 4 years,2,male   : single,none,1,if not A121 : building society savings agreement/ life insurance,31,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
2,0 <= ... <  200 DM,36,delay in paying off in the past,car (new),2225,A61,.. >= 7 years,4,male   : single,none,4,unknown / no property,57,bank,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,6,all credits at this bank paid back duly,car (new),783,A65,1  <= ... < 4 years,1,male   : single,guarantor,2,real estate,26,stores,own,1,unskilled - resident,2,none,yes
2,0 <= ... <  200 DM,12,existing credits paid back duly till now,radio/television,6468,A65,unemployed,2,male   : single,none,1,unknown / no property,52,none,own,1,management/ self-employed/,1,"yes, registered under the customers name",yes
1,no checking account,36,critical account/  other credits existing (not at this bank),radio/television,9566,A61,1  <= ... < 4 years,2,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",31,stores,own,2,skilled employee / official,1,none,yes
1,... >= 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,car (new),1961,A61,.. >= 7 years,3,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",23,none,own,1,management/ self-employed/,1,none,yes
2,... <    0 DM,36,critical account/  other credits existing (not at this bank),furniture/equipment,6229,A61,... < 1 year,4,female : divorced/separated/married,co-applicant,4,unknown / no property,23,none,rent,2,unskilled - resident,1,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,9,existing credits paid back duly till now,business,1391,A61,1  <= ... < 4 years,2,male   : married/widowed,none,1,real estate,27,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,15,critical account/  other credits existing (not at this bank),radio/television,1537,A65,.. >= 7 years,4,male   : single,guarantor,4,real estate,50,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
2,0 <= ... <  200 DM,36,no credits taken/ all credits paid back duly,business,1953,A61,.. >= 7 years,4,male   : single,none,4,unknown / no property,61,none,for free,1,management/ self-employed/,1,"yes, registered under the customers name",yes
